title,date,speaker,description,url
"Python Basics Workshop","2024-10-15","Sarah Chen","Introduction to Python for beginners. We'll cover variables, data types, functions, and basic control flow. Perfect for those new to programming or coming from other languages. Hands-on exercises included.","https://meetup.com/wcc/python-basics-2024-10"
"Django Web Development","2024-09-22","Maria K.","Building web apps with Django framework. Learn the MVT pattern, ORM, templates, and deployment. We'll build a complete blog application from scratch. Bring your laptop!","https://meetup.com/wcc/django-workshop-2024-09"
"Cloud Architecture Deep Dive","2024-08-18","Rachel Martinez","Advanced cloud architecture patterns for scalable applications. Topics include microservices, serverless, container orchestration, and multi-region deployments. Best practices from production systems.","https://meetup.com/wcc/cloud-architecture-2024-08"
"AI and Machine Learning Intro","2024-07-25","Priya S.","Introduction to AI and ML concepts. We'll explore supervised learning, neural networks basics, and practical applications. Hands-on with scikit-learn and TensorFlow. No prior ML experience needed.","https://meetup.com/wcc/ai-ml-intro-2024-07"
"Python for Data Science","2024-06-20","Emma Thompson","Using Python for data analysis and visualization. Learn pandas, numpy, matplotlib, and seaborn. We'll work with real datasets and create beautiful visualizations.","https://meetup.com/wcc/python-data-science-2024-06"
"Web Scraping with Python","2024-05-15","Jessica Wang","Learn to extract data from websites using BeautifulSoup and Scrapy. Ethical scraping practices, handling dynamic content, and storing results.","https://meetup.com/wcc/web-scraping-2024-05"
"RESTful APIs with Flask","2024-04-18","Amanda Lee","Build REST APIs using Flask. Design endpoints, handle authentication, implement CRUD operations, and test your APIs. We'll build a complete API project.","https://meetup.com/wcc/flask-apis-2024-04"
"Git and GitHub Workflow","2024-03-22","Lisa Park","Master version control with Git. Learn branching strategies, pull requests, code reviews, and collaborative workflows. Essential skills for any developer.","https://meetup.com/wcc/git-github-2024-03"
"Python Testing Best Practices","2024-02-28","Sophie Brown","Write effective tests with pytest. Unit testing, integration testing, mocking, fixtures, and test coverage. Make your code more reliable and maintainable.","https://meetup.com/wcc/python-testing-2024-02"
"Containerization with Docker","2024-01-25","Nina Rodriguez","Containerize your Python applications with Docker. Learn Dockerfile best practices, multi-stage builds, docker-compose, and deployment strategies.","https://meetup.com/wcc/docker-python-2024-01"
"FastAPI Modern Web APIs","2023-12-20","Yuki Tanaka","Build high-performance APIs with FastAPI. Async programming, automatic documentation, type hints, and modern Python patterns. Perfect for microservices.","https://meetup.com/wcc/fastapi-2023-12"
"Python Security Essentials","2023-11-18","Alex Morgan","Secure your Python applications. Common vulnerabilities, input validation, authentication, encryption, and security best practices. Critical for production apps.","https://meetup.com/wcc/python-security-2023-11"
"Machine Learning with scikit-learn","2023-10-15","Dr. Maya Patel","Practical machine learning with scikit-learn. Classification, regression, clustering, and model evaluation. Real-world projects and datasets.","https://meetup.com/wcc/sklearn-ml-2023-10"
"Python Performance Optimization","2023-09-22","Karen Kim","Optimize Python code for speed. Profiling, caching, async programming, and when to use C extensions. Make your code run faster.","https://meetup.com/wcc/python-performance-2023-09"
"Building Chatbots with Python","2023-08-18","Michelle Zhang","Create intelligent chatbots using Python. Natural language processing, dialog management, and integration with messaging platforms.","https://meetup.com/wcc/chatbots-python-2023-08"
"Cloud Deployment Strategies","2023-07-25","Jennifer Wu","Deploy Python applications to the cloud. AWS, GCP, and Azure comparison. CI/CD pipelines, monitoring, and scaling strategies.","https://meetup.com/wcc/cloud-deployment-2023-07"
"Python for Automation","2023-06-20","Patricia Garcia","Automate repetitive tasks with Python. File operations, web automation with Selenium, email automation, and scheduling tasks. Save hours every week!","https://meetup.com/wcc/python-automation-2023-06"
"Database Design with SQLAlchemy","2023-05-15","Rebecca Chen","Design and interact with databases using SQLAlchemy ORM. Models, relationships, queries, migrations, and best practices for database design.","https://meetup.com/wcc/sqlalchemy-2023-05"
"Python Package Development","2023-04-18","Stephanie Lee","Create and publish Python packages. Setup.py, packaging, PyPI, versioning, and distribution. Share your code with the world!","https://meetup.com/wcc/python-packages-2023-04"
"Advanced Python Patterns","2023-03-22","Victoria Park","Master advanced Python concepts. Decorators, context managers, generators, metaclasses, and design patterns. Level up your Python skills.","https://meetup.com/wcc/advanced-python-2023-03"

